IDLOCAL;LOCAL
144825;1.A2.05.15.01.05
144827;1.A2.05.15.02.01
144828;1.A2.05.15.02.02
144830;1.A2.05.15.02.04
144831;1.A2.05.15.02.05
144833;1.A2.05.15.03.01
144834;1.A2.05.15.03.02
144836;1.A2.05.15.03.04
144837;1.A2.05.15.03.05
144839;1.A2.05.15.04.01
144840;1.A2.05.15.04.02
144842;1.A2.05.15.04.04
144843;1.A2.05.15.04.05
144845;1.A2.05.15.05.01
144846;1.A2.05.15.05.02
144848;1.A2.05.15.05.04
144849;1.A2.05.15.05.05
144851;1.A2.05.15.06.01
144852;1.A2.05.15.06.02
144854;1.A2.05.15.06.04
144855;1.A2.05.15.06.05
144858;1.A2.05.16.01.01
144859;1.A2.05.16.01.02
144861;1.A2.05.16.01.04
144862;1.A2.05.16.01.05
144864;1.A2.05.16.02.01
144865;1.A2.05.16.02.02
144867;1.A2.05.16.02.04
144868;1.A2.05.16.02.05
144870;1.A2.05.16.03.01
144871;1.A2.05.16.03.02
144873;1.A2.05.16.03.04
144874;1.A2.05.16.03.05
144876;1.A2.05.16.04.01
144877;1.A2.05.16.04.02
144879;1.A2.05.16.04.04
144880;1.A2.05.16.04.05
144882;1.A2.05.16.05.01
144883;1.A2.05.16.05.02
144885;1.A2.05.16.05.04
144886;1.A2.05.16.05.05
144888;1.A2.05.16.06.01
144889;1.A2.05.16.06.02
144891;1.A2.05.16.06.04
144892;1.A2.05.16.06.05
144895;1.A2.05.17.01.01
144896;1.A2.05.17.01.02
144898;1.A2.05.17.01.04
144899;1.A2.05.17.01.05
144901;1.A2.05.17.02.01
144902;1.A2.05.17.02.02
144904;1.A2.05.17.02.04
144905;1.A2.05.17.02.05
144907;1.A2.05.17.03.01
144908;1.A2.05.17.03.02
144910;1.A2.05.17.03.04
144911;1.A2.05.17.03.05
144913;1.A2.05.17.04.01
144914;1.A2.05.17.04.02
144916;1.A2.05.17.04.04
144917;1.A2.05.17.04.05
144919;1.A2.05.17.05.01
144920;1.A2.05.17.05.02
144922;1.A2.05.17.05.04
144923;1.A2.05.17.05.05
144925;1.A2.05.17.06.01
144926;1.A2.05.17.06.02
144928;1.A2.05.17.06.04
144929;1.A2.05.17.06.05
144932;1.A2.05.18.01.01
144933;1.A2.05.18.01.02
144935;1.A2.05.18.01.04
144936;1.A2.05.18.01.05
144938;1.A2.05.18.02.01
144939;1.A2.05.18.02.02
144941;1.A2.05.18.02.04
144942;1.A2.05.18.02.05
144944;1.A2.05.18.03.01
144945;1.A2.05.18.03.02
144947;1.A2.05.18.03.04
144948;1.A2.05.18.03.05
144950;1.A2.05.18.04.01
144951;1.A2.05.18.04.02
144953;1.A2.05.18.04.04
144954;1.A2.05.18.04.05
144956;1.A2.05.18.05.01
144957;1.A2.05.18.05.02
144959;1.A2.05.18.05.04
144960;1.A2.05.18.05.05
144962;1.A2.05.18.06.01
144963;1.A2.05.18.06.02
144965;1.A2.05.18.06.04
144966;1.A2.05.18.06.05
144969;1.A2.05.19.01.01
144970;1.A2.05.19.01.02
144972;1.A2.05.19.01.04
144973;1.A2.05.19.01.05
144975;1.A2.05.19.02.01
144976;1.A2.05.19.02.02
144978;1.A2.05.19.02.04
144979;1.A2.05.19.02.05
144981;1.A2.05.19.03.01
144982;1.A2.05.19.03.02
144984;1.A2.05.19.03.04
144985;1.A2.05.19.03.05
144987;1.A2.05.19.04.01
144988;1.A2.05.19.04.02
144990;1.A2.05.19.04.04
144991;1.A2.05.19.04.05
144993;1.A2.05.19.05.01
144994;1.A2.05.19.05.02
144996;1.A2.05.19.05.04
144997;1.A2.05.19.05.05
144999;1.A2.05.19.06.01
145000;1.A2.05.19.06.02
145002;1.A2.05.19.06.04
145003;1.A2.05.19.06.05
145006;1.A2.05.20.01.01
145007;1.A2.05.20.01.02
